"","L","Z","A","Y"
"1",0,17,12,0
"2",0,16,11,3591
"3",0,28,12,0
"4",0,13,10,9476
"5",0,1,9,9600
"6",1,15,12,200
"7",1,39,13,10000
"8",0,28,12,0
"9",1,39,12,10339
"10",1,39,12,5000
"11",0,9,12,150
"12",0,9,8,1671
"13",1,19,12,0
"14",0,16,12,1569
"15",1,15,12,11400
"16",1,40,13,5000
"17",0,15,17,3412
"18",1,2,14,8000
"19",1,13,12,12300
"20",0,16,12,7751
"21",0,1,11,600
"22",0,13,12,6634
"23",0,17,10,0
"24",0,16,12,500
"25",0,13,12,8460
"26",1,37,9,2500
"27",0,2,12,8020
"28",1,39,12,13000
"29",0,13,12,4500
"30",0,19,9,0
"31",1,1,9,1000
"32",0,2,14,4000
"33",0,15,13,2041
"34",0,13,9,0
"35",1,37,15,0
"36",0,17,12,3500
"37",1,346,10,5200
"38",0,16,12,4500
"39",0,13,10,154
"40",1,17,11,10000
"41",0,15,13,10000
"42",1,28,11,0
"43",1,39,10,2000
"44",0,15,10,30
"45",1,13,12,0
"46",1,13,14,1200
"47",1,0,12,2948
"48",0,1,12,0
"49",0,1,12,0
"50",1,0,12,0
"51",0,13,12,0
"52",0,13,12,0
"53",1,9,9,1800
"54",0,1,12,0
"55",0,17,12,12000
"56",1,13,11,0
"57",0,16,15,3200
"58",1,13,12,14102
"59",1,13,12,1500
"60",1,13,12,11653
"61",1,13,14,1000
"62",0,13,12,0
"63",0,19,11,0
"64",1,13,16,5280
"65",1,9,10,1546
"66",0,19,11,0
"67",0,13,12,4500
"68",0,0,13,4421
"69",1,37,13,12088
"70",1,13,10,5500
"71",0,13,12,9000
"72",0,13,9,500
"73",1,13,12,4000
"74",0,19,10,0
"75",0,13,12,8440
"76",1,28,11,100
"77",1,2,11,11490
"78",1,39,12,2500
"79",0,1,11,0
"80",1,15,12,6500
"81",1,1,12,6000
"82",1,37,10,1927
"83",1,16,10,150
"84",1,9,13,8000
"85",0,13,8,0
"86",0,13,12,8750
"87",0,19,12,0
"88",0,9,11,422
"89",1,39,16,3815
"90",1,15,15,2000
"91",0,39,12,1000
"92",0,13,12,15000
"93",1,17,12,212
"94",0,2,14,6000
"95",1,15,13,7000
"96",1,13,10,10000
"97",1,16,17,5500
"98",1,39,12,11000
"99",1,16,12,2300
"100",1,15,12,4000
"101",0,2,13,450
"102",1,13,15,1300
"103",1,1,9,0
"104",1,13,14,5500
"105",1,15,12,12000
"106",0,13,14,2000
"107",0,19,8,0
"108",0,15,10,0
"109",0,13,12,700
"110",0,1,8,0
"111",1,17,11,4875
"112",1,13,12,0
"113",0,16,14,3000
"114",1,13,14,2856
"115",1,9,11,9625
"116",0,1,14,600
"117",1,15,15,10000
"118",0,13,11,6500
"119",1,9,12,10000
"120",1,37,12,19000
"121",0,1,8,3000
"122",0,13,11,1024
"123",1,5,16,5000
"124",0,1,10,0
"125",0,16,12,0
"126",1,19,8,8120
"127",0,19,9,350
"128",1,13,11,86
"129",0,16,16,14665
"130",1,2,8,1045
"131",1,19,12,0
"132",0,16,10,5730
"133",0,9,10,2400
"134",1,15,9,6000
"135",0,13,11,1000
"136",1,2,9,0
"137",0,2,11,0
"138",1,13,12,2112
"139",1,39,11,2725
"140",1,16,13,1100
"141",1,39,12,671
"142",0,13,10,130
"143",0,39,9,5200
"144",0,9,12,3000
"145",0,13,13,11475
"146",0,13,12,8786
"147",0,39,12,550
"148",0,5,13,0
"149",1,16,15,0
"150",0,17,10,3792
"151",1,13,8,300
"152",0,17,12,200
"153",1,17,12,0
"154",1,19,14,2800
"155",0,13,12,5400
"156",1,15,12,1400
"157",1,17,11,0
"158",1,16,12,15000
"159",0,19,12,3800
"160",0,13,10,7500
"161",1,28,12,2100
"162",1,13,10,3900
"163",0,0,13,5000
"164",1,1,9,98
"165",1,37,8,5915
"166",0,13,13,1300
"167",0,37,12,0
"168",1,1,8,400
"169",1,13,12,300
"170",1,17,11,3235
"171",0,13,12,7000
"172",0,16,14,4000
"173",0,1,11,150
"174",0,13,12,2808
"175",1,13,12,6000
"176",1,13,12,0
"177",0,37,11,2160
"178",0,1,8,1000
"179",1,16,12,3593
"180",0,15,12,300
"181",1,1,11,600
"182",0,13,12,3000
"183",0,19,14,2000
"184",0,16,12,8125
"185",1,1,11,400
"186",0,9,12,0
"187",1,16,12,0
"188",1,19,12,0
"189",0,13,16,3500
"190",1,9,12,200
"191",0,16,17,1440
"192",0,39,13,1300
"193",1,13,15,12500
"194",1,9,11,1000
"195",0,17,12,3400
"196",0,9,9,0
"197",0,39,11,7143
"198",1,1,8,0
"199",1,17,12,3380
"200",0,1,8,9
"201",0,39,12,8386
"202",0,15,10,0
"203",1,19,11,3000
"204",0,13,14,8000
"205",0,17,12,800
"206",0,13,13,0
"207",1,13,16,0
"208",1,19,9,0
"209",0,15,12,4800
"210",0,37,12,0
"211",1,39,16,16700
"212",1,9,10,4000
"213",0,13,13,500
"214",0,2,9,0
"215",0,13,9,12000
"216",0,13,12,5000
"217",0,17,12,16155
"218",0,17,12,0
"219",1,16,12,4252
"220",0,16,12,8443
"221",0,19,12,0
"222",0,19,12,10600
"223",1,13,14,200
"224",1,13,13,12000
"225",1,19,12,5000
"226",0,16,11,300
"227",0,5,12,0
"228",1,15,15,7200
"229",1,19,12,0
"230",0,15,11,3826
"231",0,37,12,0
"232",1,17,12,1100
"233",1,13,14,17000
"234",1,39,12,4548
"235",0,13,12,0
"236",1,2,10,0
"237",0,17,9,8340
"238",1,39,14,10000
"239",1,17,14,7200
"240",1,0,13,6516
"241",1,37,11,19000
"242",0,9,13,16000
"243",1,13,12,6240
"244",1,17,11,0
"245",1,13,12,3588
"246",0,16,11,0
"247",1,19,9,2000
"248",1,19,12,700
"249",0,13,10,0
"250",0,15,11,7630
"251",1,15,12,1080
"252",1,15,12,4000
"253",1,15,12,600
"254",0,17,9,0
"255",0,0,13,7000
"256",0,28,12,4800
"257",0,15,12,1000
"258",1,39,11,1000
"259",0,17,11,0
"260",0,13,10,0
"261",0,1,12,2900
"262",1,16,12,13000
"263",0,19,11,6600
"264",0,346,12,9000
"265",0,346,12,3000
"266",0,40,12,0
"267",1,37,12,6500
"268",0,19,12,0
"269",0,13,12,300
"270",1,17,12,2411
"271",0,2,9,600
"272",1,9,16,2000
"273",1,16,13,6711
"274",1,19,9,0
"275",0,39,12,4641
"276",1,16,8,24000
"277",1,15,12,400
"278",1,13,12,2200
"279",0,19,8,0
"280",0,13,12,160
"281",0,19,10,400
"282",0,15,14,260
"283",0,0,9,4848
"284",0,39,13,2003
"285",0,17,12,0
"286",0,39,14,12000
"287",0,17,12,0
"288",1,1,10,0
"289",1,2,12,600
"290",0,9,12,0
"291",1,9,10,220
"292",1,19,11,0
"293",0,1,10,10000
"294",1,15,12,0
"295",1,28,8,171
"296",1,5,9,11000
"297",0,17,11,1190
"298",1,16,12,10080
"299",0,17,12,3000
"300",1,16,16,13000
"301",0,0,11,0
"302",1,15,14,7100
"303",1,28,9,2400
"304",0,15,16,2000
"305",0,13,10,0
"306",0,39,9,498
"307",1,13,10,1500
"308",1,13,12,2400
"309",1,15,10,8000
"310",1,19,10,0
"311",1,2,14,1500
"312",1,39,13,1100
"313",0,1,8,3744
"314",0,13,11,6500
"315",0,13,12,7800
"316",0,1,10,352
"317",0,28,11,0
"318",0,9,9,528
"319",0,39,13,700
"320",0,16,12,0
"321",0,9,14,1306
"322",0,13,9,2725
"323",0,13,12,1768
"324",1,15,14,0
"325",0,39,12,0
"326",1,13,10,9800
"327",0,1,8,400
"328",0,13,11,0
"329",1,39,12,16000
"330",0,39,10,2574
"331",0,17,13,2000
"332",0,39,12,5394
"333",0,19,9,0
"334",1,28,15,7000
"335",1,13,12,1144
"336",0,13,12,6000
"337",1,2,15,1200
"338",1,13,11,98
"339",1,2,9,6000
"340",0,17,12,1800
"341",1,2,14,6300
"342",0,17,11,50
"343",0,13,12,12469
"344",1,15,12,554
"345",1,19,10,3000
"346",0,17,15,3880
"347",1,13,12,1223
"348",0,19,12,2400
"349",1,13,11,2800
"350",0,0,10,0
"351",1,13,8,2500
"352",0,19,8,1500
"353",0,16,12,0
"354",1,37,10,1500
"355",1,17,10,4000
"356",0,13,12,128
"357",0,39,10,2300
"358",1,13,11,8000
"359",1,13,11,31000
"360",0,13,13,1751
"361",1,17,11,918
"362",1,9,13,200
"363",0,16,12,8004
"364",0,19,13,3900
"365",0,39,12,638
"366",0,13,12,3920
"367",1,16,12,3500
"368",1,40,14,16872
"369",0,13,12,2508
"370",1,39,12,6803
"371",0,13,9,0
"372",1,346,8,2000
"373",1,2,15,10000
"374",0,17,12,0
"375",0,17,10,0
"376",0,39,8,5400
"377",0,40,12,15000
"378",0,17,12,4500
"379",0,1,12,6500
"380",1,2,13,1000
"381",0,9,14,2400
"382",0,19,17,10125
"383",1,40,12,0
"384",1,19,12,6300
"385",1,0,12,192
"386",1,9,12,2330
